"color","image","lighting","model","year_3","year_s","year_x","year_y"
"Black/Dark gray","%~n1-192.jpg","Light","3","2017–2023","","",""
"Black/Dark gray","%~n1-193.jpg","Light","3","2017–2023","","",""
"Black/Dark gray","%~n1-194.jpg","Light","3","2017–2023","","",""
"White","%~n1-228.jpg","Light","3","2017–2023","","",""
"White","%~n1-375.jpg","Light","Y","","","","2020–2024"
"White","%~n1-376.jpg","Light","Y","","","","2020–2024"
"White","%~n1-377.jpg","Light","Y","","","","2020–2024"
"Black/Dark gray","%~n1-378.jpg","Light","3","2024–nå","","",""
"Black/Dark gray","%~n1-379.jpg","Light","3","2024–nå","","",""
"Black/Dark gray","%~n1-380.jpg","Light","3","2024–nå","","",""
"Blue","%~n1-381.jpg","Light","Y","","","","2020–2024"
"Blue","%~n1-382.jpg","Light","Y","","","","2020–2024"
"Blue","%~n1-383.jpg","Light","Y","","","","2020–2024"
"White","%~n1-384.jpg","Light","Y","","","","2020–2024"
"White","%~n1-385.jpg","Light","Y","","","","2020–2024"
"White","%~n1-386.jpg","Light","Y","","","","2020–2024"
"Blue","%~n1-387.jpg","Light","Y","","","","2020–2024"
"Blue","%~n1-388.jpg","Light","Y","","","","2020–2024"
"Blue","%~n1-389.jpg","Light","Y","","","","2020–2024"
"Blue","%~n1-390.jpg","Light","3","2024–nå","","",""
"Blue","%~n1-391.jpg","Light","3","2024–nå","","",""
"Blue","%~n1-392.jpg","Light","3","2024–nå","","",""
"White","%~n1-393.jpg","Light","Y","","","","2020–2024"
"White","%~n1-394.jpg","Light","Y","","","","2020–2024"
"White","%~n1-395.jpg","Light","Y","","","","2020–2024"
"White","%~n1-396.jpg","Light","3","2017–2023","","",""
"White","%~n1-397.jpg","Light","3","2017–2023","","",""
"White","%~n1-398.jpg","Light","3","2017–2023","","",""
"Black/Dark gray","%~n1-399.jpg","Light","Y","","","","2020–2024"
"Black/Dark gray","%~n1-400.jpg","Light","Y","","","","2020–2024"
"Black/Dark gray","%~n1-401.jpg","Light","Y","","","","2020–2024"
"Black/Dark gray","%~n1-402.jpg","Light","3","2024–nå","","",""
"Black/Dark gray","%~n1-403.jpg","Light","3","2024–nå","","",""
"Black/Dark gray","%~n1-404.jpg","Light","3","2024–nå","","",""
"Light gray/Silver","%~n1-405.jpg","Light","3","2017–2023","","",""
"Light gray/Silver","%~n1-406.jpg","Light","3","2017–2023","","",""
"Light gray/Silver","%~n1-407.jpg","Light","3","2017–2023","","",""
"Black/Dark gray","%~n1-408.jpg","Light","3","2017–2023","","",""
"Light gray/Silver","%~n1-409.jpg","Light","3","2017–2023","","",""
"Black/Dark gray","%~n1-410.jpg","Light","3","2017–2023","","",""
"Blue","%~n1-411.jpg","Light","3","2017–2023","","",""
"Blue","%~n1-412.jpg","Light","3","2017–2023","","",""
"Blue","%~n1-413.jpg","Light","3","2017–2023","","",""
"White","%~n1-414.jpg","Light","3","2017–2023","","",""
"White","%~n1-415.jpg","Light","3","2017–2023","","",""
"White","%~n1-416.jpg","Light","3","2017–2023","","",""
"White","%~n1-417.jpg","Light","Y","","","","2025-nå"
"White","%~n1-418.jpg","Light","Y","","","","2025-nå"
"White","%~n1-419.jpg","Light","Y","","","","2025-nå"
"White","%~n1-420.jpg","Light","Y","","","","2020–2024"
"White","%~n1-421.jpg","Light","Y","","","","2020–2024"
"White","%~n1-422.jpg","Light","Y","","","","2020–2024"
"Black/Dark gray","%~n1-423.jpg","Light","Y","","","","2020–2024"
"Black/Dark gray","%~n1-424.jpg","Light","Y","","","","2020–2024"
"Black/Dark gray","%~n1-425.jpg","Light","Y","","","","2020–2024"
"White","%~n1-426.jpg","Light","Y","","","","2020–2024"
"White","%~n1-427.jpg","Light","Y","","","","2020–2024"
"White","%~n1-428.jpg","Light","Y","","","","2020–2024"
"Black/Dark gray","%~n1-429.jpg","Light","S","","2012–2015","",""
"Black/Dark gray","%~n1-430.jpg","Light","S","","2012–2015","",""
"Black/Dark gray","%~n1-431.jpg","Light","S","","2012–2015","",""
"Black/Dark gray","%~n1-432.jpg","Light","S","","2012–2015","",""
"White","%~n1-433.jpg","Light","X","","","2016–2020",""
"White","%~n1-434.jpg","Light","X","","","2016–2020",""
"White","%~n1-435.jpg","Light","X","","","2016–2020",""
"White","%~n1-436.jpg","Light","X","","","2016–2020",""
"White","%~n1-437.jpg","Light","X","","","2016–2020",""
"White","%~n1-438.jpg","Light","X","","","2016–2020",""
"Black/Dark gray","%~n1-439.jpg","Light","3","2017–2023","","",""
"Black/Dark gray","%~n1-440.jpg","Light","3","2017–2023","","",""
"Black/Dark gray","%~n1-441.jpg","Light","3","2017–2023","","",""
"Black/Dark gray","%~n1-442.jpg","Light","Y","","","","2020–2024"
"Black/Dark gray","%~n1-443.jpg","Light","Y","","","","2020–2024"
"Black/Dark gray","%~n1-444.jpg","Light","Y","","","","2020–2024"
"White","%~n1-445.jpg","Light","X","","","2016–2020",""
"White","%~n1-446.jpg","Light","X","","","2016–2020",""
"White","%~n1-447.jpg","Light","X","","","2016–2020",""
"Red","%~n1-448.jpg","Light","Y","","","","2020–2024"
"Red","%~n1-449.jpg","Light","Y","","","","2020–2024"
"Red","%~n1-450.jpg","Light","Y","","","","2020–2024"
"Red","%~n1-451.jpg","Light","Y","","","","2020–2024"
"White","%~n1-452.jpg","Light","3","2017–2023","","",""
"White","%~n1-453.jpg","Light","3","2017–2023","","",""
"White","%~n1-454.jpg","Light","3","2017–2023","","",""
"Light gray/Silver","%~n1-455.jpg","Light","Y","","","","2020–2024"
"Light gray/Silver","%~n1-456.jpg","Light","Y","","","","2020–2024"
"Light gray/Silver","%~n1-457.jpg","Light","Y","","","","2020–2024"
"Black/Dark gray","%~n1-463.jpg","Light","Y","","","","2020–2024"
"Blue","%~n1-464.jpg","Light","Y","","","","2020–2024"
"Blue","%~n1-465.jpg","Light","Y","","","","2020–2024"
"Blue","%~n1-466.jpg","Light","Y","","","","2020–2024"
"Blue","%~n1-467.jpg","Light","3","2024–nå","","",""
"Blue","%~n1-468.jpg","Light","3","2024–nå","","",""
"White","%~n1-469.jpg","Light","Y","","","","2020–2024"
"White","%~n1-470.jpg","Light","Y","","","","2020–2024"
"White","%~n1-471.jpg","Light","Y","","","","2020–2024"
"White","%~n1-472.jpg","Light","Y","","","","2020–2024"
"White","%~n1-473.jpg","Light","Y","","","","2020–2024"
"Black/Dark gray","%~n1-474.jpg","Light","3","2017–2023","","",""
"Black/Dark gray","%~n1-475.jpg","Light","3","2017–2023","","",""
"Black/Dark gray","%~n1-476.jpg","Light","3","2017–2023","","",""
"Black/Dark gray","%~n1-480.jpg","Light","Y","","","","2020–2024"
"Black/Dark gray","%~n1-481.jpg","Light","Y","","","","2020–2024"
"Black/Dark gray","%~n1-482.jpg","Light","Y","","","","2020–2024"
