"annotation_id","annotator","color","created_at","id","image","lead_time","lighting","model","updated_at","year_3","year_s","year_x","year_y"
7,"1","Black/Dark gray","2026-02-05T08:00:27.765926Z",2294,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-192.jpg",1138.201,"Light","3","2026-02-05T08:00:27.765926Z","2017–2023","","",""
8,"1","Black/Dark gray","2026-02-05T08:01:11.363043Z",2295,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-193.jpg",12.56,"Light","3","2026-02-05T08:01:11.363043Z","2017–2023","","",""
9,"1","Black/Dark gray","2026-02-05T08:01:25.121198Z",2296,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-194.jpg",12.581,"Light","3","2026-02-05T08:01:25.121198Z","2017–2023","","",""
10,"1","White","2026-02-05T08:02:04.612939Z",2297,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-228.jpg",38.398,"Light","3","2026-02-05T08:02:04.612939Z","2017–2023","","",""
11,"1","White","2026-02-05T08:08:05.765407Z",2298,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-375.jpg",359.848,"Light","Y","2026-02-05T08:08:05.765407Z","","","","2020–2024"
12,"1","White","2026-02-05T08:09:07.734877Z",2299,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-376.jpg",26.481,"Light","Y","2026-02-05T08:09:07.734877Z","","","","2020–2024"
13,"1","White","2026-02-05T08:09:19.685550Z",2300,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-377.jpg",10.978,"Light","Y","2026-02-05T08:09:19.685550Z","","","","2020–2024"
14,"1","Black/Dark gray","2026-02-05T08:10:10.563941Z",2301,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-378.jpg",21.59,"Light","3","2026-02-05T08:10:10.563941Z","2024–nå","","",""
15,"1","Black/Dark gray","2026-02-05T08:10:21.963644Z",2302,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-379.jpg",9.924,"Light","3","2026-02-05T08:10:21.963644Z","2024–nå","","",""
16,"1","Black/Dark gray","2026-02-05T08:10:39.434135Z",2303,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-380.jpg",16.661,"Light","3","2026-02-05T08:10:39.434135Z","2024–nå","","",""
